id,en,ch,manualTag,tranlatedTag,tatoebaEnId,tatoebaChId,wordDifficulty,syllablesCount,combinedDifficulty,isOneHundredPoints
1,How interesting!,多麼有趣啊！,日常,驚訝/感嘆,1898371,7772100,1,5,5.7,TRUE
2,How rude of you!,你真粗魯！,日常,驚訝/感嘆,16444,819340,2,4,5.4,TRUE
3,What a surprise!,太驚喜了!,日常,驚訝/感嘆,18893,794228,1,4,4.7,TRUE
4,What a beautiful flower!,多麼漂亮的花啊！,日常,驚訝/感嘆,36037,407228,0,7,7,TRUE
5,How lovely!,多可愛啊！,,驚訝/感嘆,1913086,5092632,0,4,4,TRUE
6,How horrible!,真糟糕！,,驚訝/感嘆,1864457,5550163,3,3,5.1,TRUE
7,How beautiful!,多美啊！,,驚訝/感嘆,1913083,5092623,0,4,4,TRUE
9,What a lot of pens!,那麼多鋼筆！,,驚訝/感嘆,1913100,5552572,0,5,5,TRUE
10,How dare you say that!,你怎麼敢那樣說。,,驚訝/感嘆,29999,796838,3,5,7.1,TRUE
11,What a good idea!,多好的主意啊！,,驚訝/感嘆,24961,490135,1,5,5.7,TRUE
12,What a wonderful night!,多美妙的夜晚啊!,,驚訝/感嘆,36120,816483,0,6,6,TRUE
13,What an idiot I am!,我真是個白痴！,,驚訝/感嘆,410599,845974,6,6,10.2,TRUE
14,What a pity you can't dance!,可惜你不會跳舞!,,驚訝/感嘆,40319,943692,4,8,10.8,TRUE
16,How dare you speak to me like that!,你怎麼敢這樣跟我說話！,,驚訝/感嘆,66279,335422,3,8,10.1,TRUE
17,How strange!,真奇怪。,,驚訝/感嘆,1913092,1705791,1,2,2.7,TRUE
18,How annoying!,真煩人。,,驚訝/感嘆,1557994,5102293,4,5,7.8,TRUE
19,What a strong wind!,多麼強的風啊！,,驚訝/感嘆,435181,825920,1,4,4.7,TRUE
20,How I've missed you!,我多麼想念你！,,驚訝/感嘆,17486,826046,1,5,5.7,TRUE
23,"Pass me the salt, please. ""Here you are.""",“請把鹽遞給我。”“給你。”,,"餐桌會話,要求,對話",1673,501560,3,8,10.1,TRUE
24,Please pass me the salt.,請把鹽遞給我。,,"餐桌會話,要求",25741,838594,2,5,6.4,TRUE
25,Please pass me the butter.,請把奶油遞給我。,,"餐桌會話,要求",35194,335332,2,6,7.4,TRUE
26,Will you pass me the salt?,請你把鹽遞給我好嗎？,,"餐桌會話,要求",25730,866063,2,6,7.4,TRUE
27,"Pass me the salt, would you?",把鹽遞給我好嗎？,,"餐桌會話,要求",25742,850599,1,6,6.7,TRUE
28,"Would you pass the salt, please?",請你把鹽遞過來好嗎？,,"餐桌會話,要求",25744,874472,2,6,7.4,TRUE
29,"I'd like some more bread, please.",我想再要些麵包，謝謝。,,"餐桌會話,要求",31300,855674,3,6,8.1,TRUE
30,"Can you pass me the salt, please?",請你把鹽遞給我好嗎？,,"餐桌會話,要求",25735,866063,3,7,9.1,TRUE
31,"Pass me the salt, please.",請把鹽遞給我。,,"餐桌會話,要求",25729,407281,2,5,6.4,TRUE
33,"Pass me the butter, please.",請把奶油遞給我。,,"餐桌會話,要求",35197,793262,2,6,7.4,TRUE
34,How about some more roast beef?,再來些烤牛肉怎麼樣?,,"餐桌會話,提供,食物",30479,848664,6,7,11.2,TRUE
35,"No, thank you. I'm full.",不，謝謝你。我吃飽了。,,"餐桌會話,兩個句子",65670,835728,2,5,6.4,TRUE
36,"No more, thank you. I'm full.",不，謝謝，我飽了。,,"餐桌會話,兩個句子",65830,430995,3,6,8.1,TRUE
37,Can I have a bite?,我可以吃一口嗎？,,"餐桌會話,允許請求",27796,833794,2,5,6.4,TRUE
38,I'm on a diet.,我在節食。,,餐桌會話,241675,793307,4,4,6.8,TRUE
39,"Thank you, I've had enough.",謝謝你，我吃飽了。,,餐桌會話,67370,844480,1,6,6.7,TRUE
40,Pass me the salt.,請給我鹽。,,餐桌會話,64750,7767733,1,4,4.7,TRUE
41,Do you have any light beer?,你有任何淡啤酒嗎？,,"餐廳,酒吧,酒精飲料",29824,838553,2,7,8.4,TRUE
42,"A glass of wine, please.",一杯葡萄酒，謝謝。,,"餐廳,酒吧",7795887,4394673,2,5,6.4,TRUE
43,May I see the wine list?,我可以看一下酒單嗎？,,"餐廳,要求,酒吧,酒精飲料",29224,859724,2,6,7.4,TRUE
44,"Another Scotch and water, please.",麻煩再來一杯威士忌和水。,,"餐廳,要求,酒吧,酒精飲料",270891,832964,9,8,14.3,TRUE
45,We'd like another bottle of wine.,我們想再來一瓶葡萄酒。,,"餐廳,要求,酒吧,想要/希望,酒精飲料",29222,871209,4,8,10.8,TRUE
46,"Champagne, please.",請給我香檳，謝謝。,,"餐廳,要求,酒吧",987485,5092411,7,3,7.9,TRUE
47,"Put it on one bill, please.",請記在一張帳單上。,,"餐廳,要求,酒吧",27696,858741,4,6,8.8,TRUE
48,"I'd like some tea, please.",請給我一杯茶。,,"餐廳,要求,茶會",64184,834729,2,5,6.4,TRUE
49,I'd like to have another cup of coffee.,我想再要一杯咖啡。,,"餐廳,要求,想要/希望",62216,6206033,1,10,10.7,TRUE
50,I'd like to have cake for dessert.,我想要蛋糕當點心。,,"餐廳,要求,想要/希望",39476,894368,4,8,10.8,TRUE
51,Could we have a table outside?,我們可以坐外面嗎？,,"餐廳,要求,地點",22015,839565,2,7,8.4,TRUE
52,I would like to have a cup of coffee.,我想要一杯咖啡。,,"餐廳,要求",454413,746063,0,9,9,TRUE
53,"Check, please.",請結帳。,,"餐廳,要求",21098,819284,2,2,3.4,TRUE
54,"May I have the check, please?",請把帳單給我好嗎？,,"餐廳,要求",21104,836255,2,6,7.4,TRUE
55,"Can I see the menu, please?",麻煩請給我菜單。,,"餐廳,要求",2192189,2256417,4,7,9.8,TRUE
56,"May I have a napkin, please?",請給我一張餐巾紙好嗎？,,"餐廳,要求",36286,850354,3,7,9.1,TRUE
57,I'd like the sauce on the side.,我想要將醬料放在旁邊。,,"餐廳,要求",51049,801406,3,7,9.1,TRUE
58,"Two for the lunch buffet, please.",兩人份自助午餐，謝謝。,,"餐廳,要求",29720,874356,5,7,10.5,TRUE
59,Please bring us two cups of coffee.,請給我們來兩杯咖啡。,,"餐廳,要求",62222,894349,2,7,8.4,TRUE
60,"Waiter, please bring me some water.",服務生，請給我一些水。,,"餐廳,要求",19541,868402,3,8,10.1,TRUE
61,I'd like a table by the window.,我要一張靠窗的桌子。,,"餐廳,要求",274247,894071,0,8,8,TRUE
62,"Can I have the menu again, please?",麻煩讓我再看看菜單好嗎？,,"餐廳,要求",31489,870062,4,9,11.8,TRUE
63,"Give us two knives and four forks, please.",請給我們兩把刀和四把叉子。,,"餐廳,要求",262535,407225,3,9,11.1,TRUE
64,"Orange juice, please.",柳橙汁，麻煩你。,,"餐廳,要求",536954,5548488,1,4,4.7,TRUE
65,Would you like to drink anything?,你想喝點什麼嗎？,,"餐廳,提供",25196,840434,1,7,7.7,TRUE
66,What would you like?,你要點什麼？,,餐廳,1839617,6103137,0,4,4,TRUE
